accuracy,loss,val_accuracy,val_loss
0.4566929042339325,1.2575466632843018,0.40625,1.0848941802978516
0.6850393414497375,0.809812068939209,0.40625,1.0832338333129883
0.7401574850082397,0.6517544984817505,0.5625,1.060214638710022
0.834645688533783,0.5269590020179749,0.40625,1.0418328046798706
0.8425197005271912,0.4364350140094757,0.5,0.9888336658477783
0.8976377844810486,0.32333654165267944,0.375,1.0068638324737549
0.9055117964744568,0.2430047243833542,0.875,0.9117056727409363
0.913385808467865,0.20077559351921082,0.59375,0.9185070991516113
0.9291338324546814,0.18553246557712555,0.6875,0.8935303092002869
0.9370078444480896,0.1911376267671585,0.8125,0.850895345211029
0.9055117964744568,0.20047591626644135,0.84375,0.7935938835144043
0.9291338324546814,0.20406308770179749,0.375,1.075984239578247
0.9370078444480896,0.20079827308654785,0.46875,0.9149503707885742
0.9370078444480896,0.18919570744037628,0.375,1.0265240669250488
0.8582677245140076,0.2767496705055237,0.59375,0.8200442790985107
0.9055117964744568,0.25991880893707275,0.59375,0.850532054901123
0.8661417365074158,0.3373364508152008,0.65625,0.7961655855178833
0.874015748500824,0.29715046286582947,0.5,0.8671554327011108
0.8818897604942322,0.24582834541797638,0.625,0.834398090839386
0.913385808467865,0.2398189902305603,0.875,0.6736061573028564
0.9212598204612732,0.16967812180519104,0.78125,0.6919947862625122
0.960629940032959,0.11164107918739319,0.8125,0.6990846395492554
0.9527559280395508,0.13269810378551483,0.84375,0.6679584980010986
0.960629940032959,0.09002643078565598,0.65625,0.7683050632476807
0.9370078444480896,0.12521201372146606,0.78125,0.6735988855361938
0.9291338324546814,0.19212940335273743,0.71875,0.7040462493896484
0.9291338324546814,0.2394312471151352,0.71875,0.6447778940200806
0.9055117964744568,0.18135316669940948,0.625,0.8996469974517822
0.8897637724876404,0.24629369378089905,0.8125,0.6246218681335449
0.9291338324546814,0.17378436028957367,0.84375,0.6000480055809021
0.9685039520263672,0.08310236781835556,0.625,0.769494354724884
0.9448819160461426,0.11627819389104843,0.8125,0.6679190397262573
0.8897637724876404,0.2900127172470093,0.875,0.6040991544723511
0.9448819160461426,0.1853581666946411,0.71875,0.8529301881790161
0.9842519760131836,0.05943142622709274,0.40625,1.2685106992721558
0.9527559280395508,0.10157541930675507,0.71875,0.8138855695724487
0.960629940032959,0.09513264149427414,0.875,0.487956702709198
0.960629940032959,0.1085273027420044,0.875,0.45067763328552246
0.960629940032959,0.0955457091331482,0.75,0.7101833820343018
0.960629940032959,0.06552651524543762,0.75,0.7388905882835388
0.9685039520263672,0.06431887298822403,0.8125,0.6013074517250061
0.960629940032959,0.08186212927103043,0.8125,0.5413081049919128
0.9685039520263672,0.07692813128232956,0.84375,0.5765390992164612
0.9527559280395508,0.11471731215715408,0.46875,1.692819356918335
0.9370078444480896,0.1425383985042572,0.71875,0.9344037771224976
0.9527559280395508,0.16946327686309814,0.90625,0.4688241481781006
0.9370078444480896,0.1402755230665207,0.625,1.450579285621643
0.9763779640197754,0.0677504613995552,0.65625,1.254086971282959
